sub_code,sub_name,sub_type,sem
RAS101,Engineering Physics-I,Theory,1
RAS102,Engineering Chemistry,Theory,1
RAS103,Engineering Maths-I,Theory,1
RME101,Element of Mechanical Engg.,Theory,1
RCS101,Computer System & Programming in,Theory,1
RAS152,Engg. Chemistry Lab,Practical,1
RME151,Element of Mechanical Engg. Lab,Practical,1
RCS151,Computer Programming Lab,Practical,1
RCE151,Computer Aided Engineering Graphics,Practical,1
RAS203,Engineering Maths-II,Theory,2
RAS201,Engineering Physics-II,Theory,2
REE201,Basic Electrical Engg.,Theory,2
RAS204,Professional Communication,Theory,2
REC201,Basic Electronics,Theory,2
RAS251,Engg. Physics Lab,Practical,2
REE251,Basic Electrical Engg. Lab,Practical,2
RAS254,Professional Communication Lab,Practical,2
RME252,Workshop Practice,Practical,2
RAS301,Mathematics -III,Theory,3
RVE301,Universal Human Values & Professional Ethics,Theory,3
REE305,Network Analysis and Synthesis,Theory,3
REC301,Digital Logic Design,Theory,3
REC302,Electronic Devices and Circuits,Theory,3
REC303,Signals & Systems,Theory,3
REC351,Digital Logic Design Lab,Practical,3
REC352,Electronic Devices and Circuits Lab,Practical,3
REC353,Signals & Systems Lab,Practical,3
REC354,Electronics Workshop & PCB Design Lab,Practical,3
ROE047,Material Science,Theory,4
RAS402,Environment & Ecology,Theory,4
REC401,Microprocessors & Microcontrollers,Theory,4
REC402,Electromagnetic Field Theory,Theory,4
REC403,Electronic Measurement & Instrumentation,Theory,4
RCS406,Data Structure & Algorithms,Theory,4
REC451,Microprocessors & Microcontrollers Lab,Practical,4
REC452,Advanced Electronics System Lab,Practical,4
REC453,Electronic Measurement & Instrumentation Lab,Practical,4
RCS456,Data Structure & Algorithms Lab,Practical,4
RAS501,MANAGERIAL ECONOMICS,Theory,5
RAS502,SOCIOLOGY,Theory,5
REC501A,Integrated Circuits,Theory,5
REC502,Principles of Communication,Theory,5
REC503,Digital Signal Processing,Theory,5
REC051,Antenna & wave propagation,Theory,5
REC551,Integrated Circuits Lab,Practical,5
REC552,Communication Lab-I,Practical,5
REC553,Digital Signal Processing Lab,Practical,5
REC554,CAD of Electronics Lab-I,Practical,5
RAS601,INDUSTRIAL MANAGEMENT,Theory,6
RUC601,Cyber Security,Theory,6
RIC603,Control System I,Theory,6
REC601,Microwave Engineering,Theory,6
REC602,Digital Communication,Theory,6
REC064,Advance Digital Design Using Verilog,Theory,6
REC651,Microwave Engg Lab,Practical,6
REC652,Communication Lab- II,Practical,6
RIC653,Control System Lab-I,Practical,6
RIC651,Microcontrollers For Embedded Systems Lab,Practical,6
ROE072,Introduction to Smart Grid,Theory,7
REC072,Digital Image Processing,Theory,7
REC075,Optical Communication,Theory,7
REC701,Data Communication Networks,Theory,7
REC702,VLSI Design,Theory,7
REC751,Optical Communication Lab,Practical,7
REC752,Electronics Circuit Design Lab,Practical,7
REC753,Industrial Training VivaVoce,Practical,7
REC754,Project-I,Practical,7
